Área,Nombre,Descripción,Fecha
Projects funded by the R&D&I National Plan of the Spanish Governament,TAPAS,Tecnologías Avanzadas para Procesos como Servicios.,(Jan 2013 . Dec 2015)
Projects funded by the R&D&I National Plan of the Spanish Governament,SaaS Firewall,"Solución SaaS integral para el diagnóstico automático en lenguaje natural de problemas IT y resolución semi-automática de los mismos, en base a políticas de seguridad de cortafuegos.",(Jul 2012 . Dec 2015)
Projects funded by the Andalusian Government,COPAS,Ecosystems for Optimized Process As a Service.,(Jan 2014 . Jan 2018)
